model_root,pair,dataset,domain,run,model,base_accuracy_strict,base_f1_macro_strict,accuracy_strict,f1_macro_strict,delta_accuracy_strict,delta_f1_macro_strict,delta_acc_bucket,delta_f1_bucket,n_total,source_file
qwen-3b_newlayout,information,mental,mental,avg,N,0.899549563738306,0.899497582631908,0.8378429457901534,0.8368013402389158,-0.061706617948152576,-0.06269624239299221,decline,decline,31747.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,news,finance,avg,N,0.7816612186740424,0.7485947871882003,0.7789791299974855,0.7374131437165977,-0.0026820886765568375,-0.011181643471602554,tie,decline,11931.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,sst2,movie,avg,N,0.7585,0.7547073485797242,0.7576,0.7537243303973573,-0.0008999999999999009,-0.0009830181823669015,tie,tie,10000.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,fiqasa,finance,avg,S,0.7570332480818415,0.6343998774617803,0.7689684569479965,0.6441622069943894,0.011935208866155067,0.009762329532609137,improve,improve,1173.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,imdb,movie,avg,S,0.9315,0.93143453300646,0.9277,0.927588160638224,-0.0038000000000000256,-0.0038463723682359285,tie,tie,10000.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,imdb_sklearn,movie,avg,S,0.9195,0.9192950359506324,0.9264,0.9262452891683712,0.006900000000000017,0.006950253217738789,improve,improve,10000.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,mental,mental,avg,S,0.899549563738306,0.899497582631908,0.8949192049642486,0.8949431117426208,-0.004630358774057375,-0.004554470889287288,tie,tie,31747.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,news,finance,avg,S,0.7816612186740424,0.7485947871882003,0.8012739921213645,0.7584995293104501,0.01961277344732215,0.009904742122249788,improve,improve,11931.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,sst2,movie,avg,S,0.7585,0.7547073485797242,0.7645,0.7610515912286233,0.006000000000000005,0.006344242648899101,improve,improve,10000.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-7b_newlayout,decision,fiqasa,finance,avg,F,0.6956521739130435,0.635756094201861,0.7306052855924978,0.6562452049819567,0.03495311167945436,0.020489110780095743,improve,improve,1173.0,qwen-7b_newlayout/decision/summaries/sentiment.csv
